Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
100869-7,Chogo,Chogo,,2013-08-20T10:26:35.000Z,2018-09-25T06:48:07.000Z,Southern Highlands Zone,Iringa,Mufindi,Mufindi DC,Mapanda,Chogo,Dispensary,Operating,Public - LGA,,11-05-0129,-8.51382,35.7468,15/11/2001,0,0,1,0,0
100870-5,Chogo,Chogo,Registered,2013-08-20T10:26:36.000Z,2019-06-07T18:21:53.000Z,Northern Zone,Tanga,Handeni,Handeni DC,Kabuku Ndani,Chogo,Dispensary,Operating,Public - LGA,,,-5.59904,38.50592,,0,1,0,1,0
100871-3,Chogoali,Chogoali,Registration Pending Certification,2013-08-20T10:26:36.000Z,2019-05-02T20:39:26.000Z,Eastern Zone,Morogoro,Gairo,Gairo DC,Iyogwe,Chogoali,Dispensary,Operating,Public - LGA,,05-07-0112,-6.02973,37.36423,,0,0,0,1,0
100872-1,Chogola,,Registered,2013-08-20T10:26:36.000Z,2019-05-21T13:22:53.000Z,Central Zone,Dodoma,Mpwapwa,Mpwapwa DC,Massa,Chogola,Dispensary,Operating,Public - LGA,,,-6.96972,36.40843,,0,0,1,0,0
100873-9,Chole,chole,Registered,2013-08-20T10:26:36.000Z,2015-05-26T12:27:52.000Z,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Cholesamvula,Cholesamvua,Dispensary,Operating,Public - LGA,,,-7.35744,38.67218,30/03/1956,0,0,1,0,0
100874-7,Chole,,Registered,2013-08-20T10:26:37.000Z,2019-09-19T09:50:59.000Z,Eastern Zone,Pwani,Mafia,Mafia DC,Jibondo,Chole,Dispensary,Operating,Public - LGA,,,-7.97013,39.761,26/03/1998,0,0,1,0,0
100875-4,Chololo,chololo,Registered,2013-08-20T10:26:37.000Z,2015-08-17T12:36:16.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Kikombo,Chilolo,Dispensary,Operating,Public - LGA,,,-6.243144,36.000833,,0,0,0,0,0
100876-2,Chololo,,Registered,2013-08-20T10:26:37.000Z,2015-03-26T13:47:49.000Z,Central Zone,Dodoma,Kondoa,Kondoa DC,Changaa,Chololo,Dispensary,Operating,Public - LGA,,,-4.786165,35.664415,,0,0,1,0,0
100877-0,Choma,Choma Health Centre,Registered,2013-08-20T10:26:37.000Z,2019-11-07T17:28:35.000Z,Western Zone,Tabora,Igunga,Igunga DC,Choma,Choma,Health Center,Operating,Public - LGA,,14-02-0104,-4.02232,33.358074,01/07/1960,1,1,0,0,0
100878-8,Chombe,,,2013-08-20T10:26:37.000Z,2016-11-24T05:33:05.000Z,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Kaoze,Chombe,Dispensary,Operating,Public - LGA,,,-8.58068,32.221,,0,0,0,0,0
100879-6,Chome,,Registered,2013-08-20T10:26:38.000Z,2019-05-21T15:29:43.000Z,Northern Zone,Kilimanjaro,Same,Same DC,Chome,Mhero,Dispensary,Operating,Public - LGA,,,-4.28828,37.8993,,1,0,0,0,0
100880-4,Chomvu,Chomvu,Registered,2013-08-20T10:26:38.000Z,2019-05-29T02:48:12.000Z,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Chomvu,Chomvu,Dispensary,Operating,Public - LGA,,,-3.716421,37.660271,24/10/2004,1,0,0,0,0
100881-2,Chonga,Chonga Dispensary,Registered,2013-08-20T10:26:38.000Z,2019-09-19T11:57:02.000Z,Southern Highlands Zone,Rukwa,Nkasi,Nkasi DC,Kate,Chonga,Dispensary,Operating,Public - LGA,,,-7.77943,31.26994,,1,0,0,0,0
100882-0,Chongoleani,Chongoleani,Registered,2013-08-20T10:26:38.000Z,2019-07-15T13:32:02.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Chongoleani,Chongoleani,Dispensary,Operating,Public - LGA,,,-5.00397,39.13461,,1,0,0,0,0
100883-8,Chonwe,Chonwe,Registered,2013-08-20T10:26:38.000Z,2019-11-07T18:32:01.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Vidunda,Chonwe,Dispensary,Operating,Public - LGA,,,-7.57777,36.9228,,0,0,1,0,0
108995-2,Chonyonyo,Chonyonyo,Registered,2014-10-17T13:57:10.000Z,2017-04-18T07:10:11.000Z,Lake Zone,Kagera,Karagwe,Karagwe DC,Chonyonyo,Chonyonyo,Dispensary,Operating,Public - LGA,,18-01-0150,-1.56445,31.04857,,0,0,0,0,0
100884-6,Chosi A,Chosi A,Not Registered,2013-08-20T10:26:38.000Z,2015-03-27T02:45:07.000Z,Southern Highlands Zone,Mbeya,Mbarali,Mbarali DC,Ihahi,Muwale,Dispensary,Operating,Public - LGA,,,-8.8367,34.0643,01/07/1962,0,0,0,1,1
113525-0,Chris,,Registered,2019-04-04T08:57:36.000Z,2019-07-26T13:36:57.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kiburugwa,Kingungi,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/DSM-TMK/AUT/025,,-6.90068,39.2504,,1,0,0,0,0
111884-3,Chris-Mall Africana,CHRIS,Registered,2017-10-12T10:23:26.000Z,2019-04-30T13:41:46.000Z,Lake Zone,Mara,Bunda,Bunda TC,Bunda Mjini,Nyerere,Dispensary,Operating,Private - For Profit,204211,,-2.02407,33.86643,26/01/2016,1,1,0,0,0
100911-7,Chrisian of Gospel International Kaya No 1,Bahai,Registered,2013-08-20T10:26:44.000Z,2016-02-29T13:11:48.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Boma Mbuzi,Kilimani,Dispensary,Operating,Private - Faith based organization (FBO),36032,,-3.36981,37.34087,03/04/1999,1,0,0,0,0
111012-1,Chubi,,Registered,2015-10-30T07:25:43.000Z,2015-10-30T07:25:43.000Z,Central Zone,Dodoma,Kondoa,Kondoa DC,Itaswi,Chubi,Dispensary,Operating,Public - LGA,,,-4.48602,36.02983,,0,0,1,0,0
100886-1,Chumbageni Prison,Chumbageni,Registered,2013-08-20T10:26:39.000Z,2019-05-29T18:54:19.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Chumbageni,Chumbageni,Dispensary,Operating,Public - Police,,,-5.07223,39.09548,,1,0,0,0,0
100887-9,Chumbi,Chumbi,Registered,2013-08-20T10:26:39.000Z,2018-04-17T15:26:43.000Z,Eastern Zone,Pwani,Rufiji,Rufiji DC,Chumbi,Chumbi A,Dispensary,Operating,Public - LGA,,,-8.127826,39.103237,10/04/1985,0,0,1,0,0
100888-7,Chumo,Chumo,Registered,2013-08-20T10:26:39.000Z,2016-02-24T05:37:36.000Z,Southern Zone,Lindi,Kilwa,Kilwa DC,Chumo,Chumo,Dispensary,Operating,Public - LGA,,,-8.540943,39.039258,,0,0,0,0,0
100889-5,Chunguruma,Chunguruma,Registered,2013-08-20T10:26:40.000Z,2019-09-19T10:34:00.000Z,Eastern Zone,Pwani,Mafia,Mafia DC,Ndagoni,Chunguruma,Dispensary,Operating,Public - LGA,65006,,-7.835896,39.740373,21/03/1968,0,1,1,0,0
111218-4,Chuno,Chuno Dispensary,Registered,2015-11-26T13:41:27.000Z,2019-08-23T11:22:01.000Z,Southern Zone,Mtwara,Mtwara,Mtwara MC,Shangani,Not set,Dispensary,Operating,Public - LGA,111218,09-04-0117,-10.269658,40.164247,,1,0,0,0,0
100890-3,Chunya,Chunya District Hospital,Not Registered,2013-08-20T10:26:40.000Z,2019-05-24T09:42:44.000Z,Southern Highlands Zone,Mbeya,Chunya,Chunya DC,Chokaa,Kibaoni,Hospital - District Hospital,Operating,Public - LGA,,,-8.52037,33.425983,02/05/2016,0,0,0,0,0
100891-1,Chunyu,,Registered,2013-08-20T10:26:40.000Z,2019-05-21T13:16:14.000Z,Central Zone,Dodoma,Mpwapwa,Mpwapwa DC,Chunyu,Chunyu,Dispensary,Operating,Public - LGA,,,-6.281,36.32895,,1,0,0,0,0
100892-9,Chunyu,chunyu,Registered,2013-08-20T10:26:40.000Z,2019-08-06T12:06:30.000Z,Southern Zone,Lindi,Ruangwa,Ruangwa DC,Chunyu,Chunyu,Dispensary,Operating,Public - LGA,100892-9,08-05-0112,-9.96855,38.8944,12/07/2015,0,0,1,0,1
100893-7,Chuo,Chuo,Registered,2013-08-20T10:26:40.000Z,2019-11-27T20:16:14.000Z,Southern Highlands Zone,Songwe,Momba,Momba DC,Mkulwe,Chuo,Dispensary,Operating,Public - LGA,,,-8.636802,32.305764,16/07/2015,0,0,0,0,0
100894-5,Chuo Cha Polisi,Chuo cha polisi,Registered,2013-08-20T10:26:41.000Z,2015-07-25T07:59:48.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Kilimanjaro,Kilimanjaro,Health Center,Operating,Public - Police,,,-3.33358,37.33193,11/11/1972,1,1,0,0,0
108106-6,Chuo Kikuu,University of Dar es salaam,Registered,2013-08-20T10:54:35.000Z,2019-07-25T20:29:33.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Ubungo,Chuo kikuu,Health Center,Operating,Public - Parastatal,,,-6.77922,39.20814,,1,1,0,0,0
100899-4,Churuku,CHURUKU0,Registered,2013-08-20T10:26:42.000Z,2015-09-02T11:46:06.000Z,Central Zone,Dodoma,Chemba,Chemba DC,Churuku,Churuku,Dispensary,Operating,Public - LGA,,,-5.01277,36.127732,,0,0,1,0,0
111002-2,Cignat,Cignat,Registered,2015-10-26T07:54:06.000Z,2019-08-06T09:37:57.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Charambe,Kwazomboko,Dispensary,Operating,Private - For Profit,73370,,-6.913968,39.252155,,1,1,0,0,0
100900-0,Cignat,CIGNAT,Registered,2013-08-20T10:26:42.000Z,2020-01-24T13:54:26.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza B,Dispensary,Operating,Private - For Profit,71387,,-6.78582,39.22364,15/07/2010,1,1,0,0,0
112767-9,City,City,Registered,2019-03-07T03:37:36.000Z,2019-05-03T05:20:45.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Uhuru,Kipande,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,phl-c/Dom/Aut/06,,-6.17736,35.74246,01/07/2007,1,0,0,0,0
110347-2,City,City,Registered,2015-06-25T13:43:45.000Z,2019-05-29T18:52:15.000Z,Northern Zone,Tanga,Tanga,Tanga CC,Central,Darajani,Dispensary,Operating,Private - For Profit,,,-5.07024,39.10666,,1,0,0,0,0
111964-3,City Centre,,Registered,2018-01-16T15:32:16.000Z,2019-06-21T08:42:23.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Bondeni,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/AR/AUT/21,,-3.367869,36.684995,,1,0,0,0,0
110993-3,City Eye,City Eye Centre,Registered,2015-10-13T14:49:04.000Z,2019-04-17T12:19:36.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Soko kuu,Clinic - Optometry Clinic,Closed (Temporary),Private - For Profit,,,-8.89441,33.439411,01/06/2000,1,0,0,0,0
110765-5,City Medical,City Medical Clinic,Registered,2015-07-16T09:59:06.000Z,2018-01-15T07:02:37.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Kivukoni,Clinic - Other Clinic,Closed,Private - For Profit,72420,,-6.81869,39.28646,02/03/2015,1,1,0,0,0
100901-8,City Medical and Heart,Kwa Dr Mabula,Registered,2013-08-20T10:26:42.000Z,2019-06-21T11:20:26.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Maendeleo,Kati,Clinic - Specialized clinic,Operating,Private - For Profit,,,-8.89377,33.43433,,1,0,0,0,0
100902-6,City Specialized Paediatric,City pediatric,Registered,2013-08-20T10:26:42.000Z,2019-06-08T16:18:21.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Kalobe,Maendeleo 'A',Clinic - Specialized clinic,Operating,Private - For Profit,12722,,-8.9238,33.42107,13/07/2011,1,0,0,0,0
100904-2,CMT Kijichi,CMT,Registered,2013-08-20T10:26:43.000Z,2019-08-06T09:40:37.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kijichi,Mtoni kijichi,Dispensary,Operating,Private - For Profit,73263,,-6.888091,39.284739,,1,0,0,0,0
113533-4,Coast,,Registered,2019-04-04T09:09:16.000Z,2019-07-26T07:48:33.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Toangoma,Mzinga,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/DSM-TMK/AUT/033,,-6.94197,39.27964,01/01/2019,1,0,1,0,0
100906-7,COG,,,2013-08-20T10:26:43.000Z,2015-08-17T05:54:36.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mbagala,Mbagala,Dispensary,Closed,Private - NGOs,,,-6.90366,39.26746,,0,0,0,0,0
100909-1,Cogi Daraja II,,Registered,2013-08-20T10:26:44.000Z,2015-12-12T12:51:23.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Daraja 2,Ndarvoi,Dispensary,Operating,Private - Faith based organization (FBO),23014,,-3.387378,36.690832,06/09/1997,1,0,0,0,0
100912-5,Cogi Kijenge,,Registered,2013-08-20T10:26:44.000Z,2017-08-16T11:55:07.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Kimandolu,Kijenge kusini,Dispensary,Closed (Temporary),Private - Faith based organization (FBO),23029,,-3.37891,36.7067,07/09/1997,1,0,0,0,0
114000-3,COGI Mamsera,COGI MAMSERA,Registered,2020-01-31T09:41:08.000Z,2020-01-31T11:29:31.000Z,Northern Zone,Kilimanjaro,Rombo,Rombo DC,Mamsera,Mamsera Juu,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.26477,37.60204,23/10/2019,1,0,0,0,0
100916-6,Cogi Ngaramtoni,CRC,Registered,2013-08-20T10:26:45.000Z,2016-02-01T04:17:15.000Z,Northern Zone,Arusha,Arusha,Arusha DC,Olmotonyi,Ngaramtoni,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.31571,36.6388,,1,0,0,0,0
100917-4,COGI Ngarenairobi,COGI Dispensary,Registered,2013-08-20T10:26:45.000Z,2018-06-19T08:12:56.000Z,Northern Zone,Kilimanjaro,Siha,Siha DC,Ngarenairobi,Ngarenairobi,Dispensary,Closed,Private - Faith based organization (FBO),35004,,-3.04167,37.05059,01/01/1997,0,0,0,1,0
100918-2,Cogi Oldonyosambu,Maiko,Registered,2013-08-20T10:26:46.000Z,2016-01-06T07:42:01.000Z,Northern Zone,Arusha,Arusha,Arusha DC,Oldonyosambu,Lemong'o,Dispensary,Operating,Private - Faith based organization (FBO),4434,,-3.14588,36.69191,,1,0,0,0,0
100919-0,Cogi Unga Ltd,,,2013-08-20T10:26:46.000Z,2015-08-20T06:15:05.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Unga Ltd,Esso,Dispensary,Closed (Temporary),Private,,,-3.38247,36.674,,0,0,0,0,0
100921-6,COH Dental,Aviation,Registered,2013-08-20T10:26:46.000Z,2015-07-11T08:25:48.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Shariff Shamba,Clinic - Dental Clinic,Operating,Private - For Profit,72400,,-6.82755,39.25722,05/12/2013,1,1,0,0,0
Not set,Community,,,2013-08-20T10:26:47.000Z,2015-12-15T11:40:46.000Z,Northern Zone,Arusha,Karatu,Karatu DC,Mang'ola,Not set,Dispensary,Pending Operation - Construction Complete,Private - For Profit,,,-3.520183,35.33507,,0,0,0,0,0
113764-5,Community,Usariver community,Registered,2019-08-20T13:02:22.000Z,2019-09-16T08:58:55.000Z,Northern Zone,Arusha,Arumeru,Meru DC,Usa River,Magadirisho,Dispensary,Operating,Private - For Profit,22200,,-3.37135,36.848554,07/01/2013,1,1,0,0,0
111109-5,Community Oral Health,Community Oral Health,Registered,2015-11-18T08:58:43.000Z,2019-05-21T12:28:20.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kijitonyama,Mwenge,Clinic - Dental Clinic,Operating,Private - For Profit,71523,,-6.773807,39.233285,,0,0,0,0,0
100927-3,Congo medicare,Congo medicare,Registered,2013-08-20T10:26:47.000Z,2020-03-09T16:50:59.000Z,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Tandahimba,Matogoro,Dispensary,Closed,Private - For Profit,19224,,-10.75321,39.63167,07/02/2007,1,0,0,0,0
112484-1,Consolata,Consolata Mission,Registered,2019-02-01T10:26:03.000Z,2019-02-12T10:54:47.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Kichangani,Clinic - Dental Clinic,Operating,Private - Faith based organization (FBO),116225,,-7.765,35.70994,02/01/2018,1,1,0,0,0
112776-0,Consolata,,Registered,2019-03-07T04:49:59.000Z,2019-05-03T03:20:13.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Miyuji,Miyuji Proper,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,phl-c/Dom/Aut/014,,-6.13497,35.75192,22/07/2013,1,1,0,0,0
112528-5,Consolata,Consolata medical service,Registered,2019-02-27T08:55:50.000Z,2019-05-08T21:15:07.000Z,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Ngokolo,Not set,Dispensary,Operating,Private - For Profit,175216,,-3.65004,33.41495,31/12/2018,1,0,0,0,0
100928-1,Consolata Sisters,Mbagala Mission,,2013-08-20T10:26:47.000Z,2015-07-09T14:45:54.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kijichi,Misheni,Dispensary,Operating,Private - Faith based organization (FBO),73032,,-6.884454,39.272773,,1,1,0,0,0
112465-0,Consolatha,Consolatha Dispensary Manda,Registered,2019-01-28T07:37:28.000Z,2019-07-10T14:11:20.000Z,Central Zone,Dodoma,Chamwino,Chamwino DC,Manda,Manda,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,13203,,-6.78046,35.29842,02/10/2017,0,1,1,0,0
100930-7,COPTIC,Coptic,Registered,2013-08-20T10:26:48.000Z,2015-03-30T12:15:06.000Z,Lake Zone,Mara,Musoma,Musoma MC,Nyasho,Nyasho Kati,Health Center,Operating,Private - Faith based organization (FBO),205208,,-1.508463,33.805672,01/07/2008,1,1,0,0,0
100931-5,Corner,,Registered,2013-08-20T10:26:48.000Z,2019-11-19T10:18:12.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Kirumba,Kirumba Kati,Dispensary,Operating,Private - For Profit,,,-2.504203,32.898872,18/01/1998,0,0,0,0,0
111166-5,COSAD,Cosad,Registered,2015-11-24T08:58:00.000Z,2015-12-09T07:29:58.000Z,Lake Zone,Kagera,Bukoba,Bukoba MC,Kashai,Matopeni,Dispensary,Operating,Private - NGOs,606887,,-1.328128,31.819495,08/10/2015,1,0,0,0,0
112046-8,Cosmopolitan,Kibaoni au Sambala,Registered,2018-01-23T09:38:06.000Z,2018-01-23T09:38:06.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Lugalo A,Clinic - Other Clinic,Operating,Private - For Profit,129348,,-7.76457,35.70347,01/10/2017,1,0,0,0,0
112101-1,CPC Charitable Medical Services,,Registered,2018-02-08T10:07:39.000Z,2018-02-08T10:07:39.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Keko,Keko Magurumbasi A,Dispensary,Operating,Private - For Profit,73391,,-6.836,39.27344,20/12/2017,1,0,0,0,0
112349-6,Cradle Speciality,Cradle Speciality,Registered,2018-08-27T08:57:56.000Z,2019-03-28T09:05:16.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Masaki,Health Center,Operating,Private - For Profit,,,-6.80594,39.25706,06/08/2018,1,1,0,0,0
110024-7,CRC,CRC Lab Clinic,Registered,2015-05-25T13:47:08.000Z,2015-05-25T13:47:08.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Maili Moja,Maili Moja,Dispensary,Operating,Private - For Profit,62216,,-6.77821,38.98839,,1,0,0,0,0
113276-0,CRC,,Registered,2019-03-27T17:07:48.000Z,2019-07-04T12:58:51.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Maili Moja,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/PWN/AUT/02,,-6.77823,38.98844,,1,0,0,0,0
100936-4,CRCT K'njaro first health,KILIMANJARO HOSPITAL,Registered,2013-08-20T10:26:49.000Z,2019-03-01T09:15:40.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Mawenzi,Rengua,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),36209,,-3.348951,37.341862,01/04/2000,1,1,0,0,0
111958-5,Curare,,Registered,2018-01-16T14:47:05.000Z,2019-06-21T09:31:29.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Kati,Bondeni,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/AR/AUT/03,,-3.370335,36.687354,,1,0,0,0,0
112964-2,D. S. Optometric Centre,Kliniki ya macho,Registered,2019-03-07T16:38:04.000Z,2019-06-16T18:03:53.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Soko kuu,Clinic - Optometry Clinic,Operating,Private - For Profit,111,,-8.89273,33.44265,31/05/2012,1,0,0,0,0
100940-6,D.I.T,Zahanati ys chuo DIT,Registered,2013-08-20T10:26:50.000Z,2019-11-12T09:19:19.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Charambe,Dispensary,Operating,Public - Parastatal,Govt,,-6.81417,39.28021,02/11/1998,1,1,0,0,0
100941-4,Dabalo,Dabalo,Registered,2013-08-20T10:26:50.000Z,2018-04-03T07:10:59.000Z,Central Zone,Dodoma,Chamwino,Chamwino DC,Dabalo,Dabalo,Dispensary,Operating,Public - LGA,,,-5.80465,36.118325,01/12/1950,0,0,1,0,0
100942-2,Dabil,Dabil,Registered,2013-08-20T10:26:50.000Z,2019-08-30T05:50:57.000Z,Northern Zone,Manyara,Babati,Babati DC,Dabil,Mandi,Dispensary,Operating,Public - LGA,,21-01-0135,-4.33427,35.43401,23/07/2007,0,0,0,0,0
109877-1,Dafah,Dafah,Registered,2015-04-02T09:59:43.000Z,2016-05-13T07:07:13.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Kasulu,Dispensary,Closed,Private - For Profit,72360,,-6.82959,39.26199,15/06/2011,1,1,0,0,0
109276-6,Daha,Daha,Registered,2015-03-27T06:22:44.000Z,2019-04-08T06:52:15.000Z,Lake Zone,Mara,Musoma,Musoma MC,Kitaji,Kitaji 'A',Health Labs,Operating,Private - For Profit,PHL-C/MAR/AUT/05,,-1.49734,33.80771,,0,0,0,0,0
Not set,Dakama,dakama,Registration Pending Certification,2013-08-20T10:26:51.000Z,2015-08-24T07:23:04.000Z,Western Zone,Simiyu,Meatu,Meatu DC,Mwamishali,Not set,Dispensary,Pending Operation - Under Construction,Public,,,-3.54239,34.20675,,0,0,0,0,0
100945-5,Dakawa,DakawaCenter,Registered,2013-08-20T10:26:51.000Z,2019-11-07T18:33:49.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Dumila,Dumila,Dispensary,Operating,Public - LGA,,,-6.421117,37.411098,,0,0,0,0,0
113567-2,Dakawa Ukutu,,Registration Pending Certification,2019-04-18T13:17:05.000Z,2019-08-22T09:18:18.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Bwakila Chini,Dakawa,Dispensary,Operating,Public - LGA,,,-7.42061,37.71588,,0,0,0,0,0
100946-3,Daluni,Daluni Kibaoni,Registered,2013-08-20T10:26:51.000Z,2019-05-29T14:24:48.000Z,Northern Zone,Tanga,Mkinga,Mkinga DC,Daluni,Daluni Kisiwani A,Dispensary,Operating,Public - LGA,,,-4.77195,38.77562,04/05/1967,1,0,0,0,0
113583-9,Dama Africa,Kwa masista,Registered,2019-05-12T09:50:31.000Z,2019-07-05T08:44:23.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Pangani,Vikawe Bondeni,Dispensary,Operating,Private - Faith based organization (FBO),6223,,-6.66374,39.03651,01/07/2015,1,1,0,0,0
111268-9,Dami Dentomed,DR BUSINGA DENTAL CLINIC,Registered,2015-12-10T12:50:09.000Z,2019-08-23T11:13:37.000Z,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Bagamoyo,Bagamoyo,Clinic - Dental Clinic,Operating,Private - NGOs,124205,,-9.25066,33.64196,06/06/2017,1,0,0,0,0
Not set,Dang'aida,,Not Registered,2015-03-27T07:32:26.000Z,2015-09-14T06:36:24.000Z,Northern Zone,Manyara,Hanang,Hanang DC,Bassotu,Dang'aida,Dispensary,Pending Operation - Under Construction,Public,,,-4.32525,35.01158,,0,0,0,0,0
112710-9,Dar Al Shifa,DAR AL SHIFA POLYCLINIC,Registered,2019-03-07T03:17:03.000Z,2019-07-16T06:09:44.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kitonga,Clinic - Other Clinic,Operating,Private - For Profit,72531,,-6.80268,39.28577,04/07/2018,1,1,0,0,0
112048-4,Dar es salaam Oncological Care and Counselling,Dar es salaam Oncological and Conselling,Registered,2018-01-22T09:53:20.000Z,2019-07-26T13:29:54.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mbezi beach B,Clinic - Other Clinic,Operating,Private - For Profit,71356,,-6.7076,39.226,07/01/2004,1,0,0,0,0
110304-3,Dar Group,,Registered,2015-06-17T08:33:27.000Z,2016-05-05T12:58:57.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kihonda,Mgudeni,Dispensary,Operating,Private - For Profit,,,-6.77054,37.64632,,0,0,0,0,0
110464-5,Dar IVF and fertility,Dar IVF and fertility,Registered,2015-07-08T06:56:03.000Z,2019-03-28T08:16:36.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Bonde la Mpunga,Clinic - Specialized clinic,Operating,Private - For Profit,,,-6.75665,39.25079,11/01/2018,1,0,0,0,0
100950-5,DAR Reasource,,Registered,2013-08-20T10:26:52.000Z,2017-10-16T13:48:34.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Kurasini,Shimo la Udongo,Clinic - Other Clinic,Closed (Temporary),Private - NGOs,,,-6.84341,39.2935,,0,0,0,0,0
109552-0,Daraja II,,Not Registered,2015-03-27T10:39:28.000Z,2019-09-19T08:20:35.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Daraja 2,Ally Nyanya,Health Center,Operating,Public - LGA,,02-03-0124,-3.38057,36.68765,01/09/2014,1,0,0,0,0
100951-3,Darajani,,Registered,2013-08-20T10:26:52.000Z,2015-06-25T13:59:06.000Z,Southern Zone,Lindi,Kilwa,Kilwa DC,Kipatimu,Darajani,Dispensary,Operating,Public - LGA,,,-8.50424,38.8207,,0,0,0,0,0
100954-7,Dareda,Dareda Mission,Registered,2013-08-20T10:26:53.000Z,2019-08-30T05:55:03.000Z,Northern Zone,Manyara,Babati,Babati DC,Dareda,Seloto,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),25200,21-01-0200,-4.2402,35.49297,01/01/1952,1,1,0,0,0
100952-1,Dareda kati,Dareda Kati,Registered,2013-08-20T10:26:53.000Z,2019-09-02T07:03:27.000Z,Northern Zone,Manyara,Babati,Babati DC,Dareda,Dareda Kati,Dispensary,Operating,Public - LGA,,,-4.2178,35.55334,01/03/1990,1,0,0,0,0
