name,building,addr:full,contact:phone,operator,operator:type,operational_status,opening_hours,wheelchair,health_amenity:type,healthcare:equipment,emergency,insurance:health,staff_count:doctors,staff_count:nurses,beds,electricity,water_source,latitude,longitude,source
cemedra ou centre de malango,Clinic,2Km500 de la ville de fatick à coté du bras de mer,+221339491162,DR ERICK GBODOSSOU,Private,Operational,Pick the days of the week open and enter hours for each day,No,Doctor Physiotherapy Alternative Laboratory Optometry/Ophtalmology Rehabilitation,,No,None,0,0,20,Power grid,Water works,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Tambacounda,Doctors,Liberté,+221775337011,MSAS,Public,Operational,"24/7 - All day, every day",Limited,Doctor Pharmacy Dentist Laboratory Birthing center,X-Ray Laboratory,Yes,None,2,7,28,Power grid,Water works,13.779036,-13.67393,#senegal #covid-19 #emergency-health-data #healthsites
poste de santé de sindian,Doctors,,339947116,ministere de la santé et de l'action sociale,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Laboratory Birthing center,,Yes,None,0,2,11,Power grid,Water works,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
Poste de Santé de Sindian,Doctors,,,Ministére de la santé et de l'action sociale,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Laboratory Birthing center,,,None,,,,,,14.6705,-17.4427,#senegal #covid-19 #emergency-health-data #healthsites
Maternité Guinaw Rail Sud Issa Mbengue,Doctors,"Pikine, Guinaw Rail Sud à 10 mètre du Poste de Santé",+221338348436,Ministère de la Santé et de l'Action Sociale,Public,Operational,"24/7 - All day, every day",Yes,Birthing center,Ultrasound Imaging Equipment Emergency Department,Yes,Public Private,,3,12,Power grid,Water works,14.7517,-17.3894,#senegal #covid-19 #emergency-health-data #healthsites
Centre Hospitalier Youssou Mbargane Diop,Hospital,route de sangalkam,338366327,Cheikh Mbaye SECK,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public Private,26,5,82,Power grid,Water works,14.726071,-17.259332,#senegal #covid-19 #emergency-health-data #healthsites
Clinique du CAP Manuel,Clinic,Avenue Pasteur à Coté de l'Institut Pasteur Dakar,+221338890202,Fadouael ARGOUBI,Private,Operational,"24/7 - All day, every day",Yes,Doctor Clinic Physiotherapy Laboratory Optometry/Ophtalmology Birthing center,Ultrasound Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Private,,,,Power grid,Water works,14.653237,-17.433934,#senegal #covid-19 #emergency-health-data #healthsites
Moustapha  Ndiaye,Doctors,,,Ministère de la santé,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy Dentist,,No,Public,,,,Power grid,Groundwater,14.749074,-17.391385,#senegal #covid-19 #emergency-health-data #healthsites
centre hospitalier  national mathlaboul fawzaini de touba,Hospital,,339740547,MATAR LO,Public,Operational,Only open on weekdays with the same hours every day.,Yes,Doctor Pharmacy Dentist Alternative Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,Public Private,,,,Power grid,Powered pump,14.858532,-15.907859,#senegal #covid-19 #emergency-health-data #healthsites
centre hospitalier national mathlaboul fawzaini de touba,Hospital,,,matar lo,,Operational,"24/7 - All day, every day",,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,,Public,,,,,,14.858606,-15.907828,#senegal #covid-19 #emergency-health-data #healthsites
CENTRE HOSPITALIER NATIONAL MATHLABOUL FAWZAINI DE TOUBA,Hospital,,,MATAR LO,,Operational,"24/7 - All day, every day",Yes,Hospital,,Yes,Public,,,,Power grid,Water works,14.858606,-15.907828,#senegal #covid-19 #emergency-health-data #healthsites
ETABLISSEMENT PUBLIC DE SANTE DE KAFFRINE,Hospital,,+221338270024,BABAKAR SENE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Clinic Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public Private,8,22,76,Power grid,Water works,14.099402,-15.556837,#senegal #covid-19 #emergency-health-data #healthsites
ETABLISSEMENT PUBLIC DE SANTE DE NIVEAU 1 DE KAFFRINE,Hospital,,776606944,BABAKAR SENE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Rehabilitation Blood donation Birthing center,Ultrasound X-Ray Dialysis Operating Theater Laboratory Imaging Equipment Emergency Department,Yes,Public,8,23,76,Power grid,Water works,14.099392,-15.556815,#senegal #covid-19 #emergency-health-data #healthsites
Maternité de Ndande,Doctors,"Ndande,Diama",,MINISTERE DE LA SANTE ET DE L'ACTION SOCIALE,Public,Operational,"24/7 - All day, every day",Limited,Laboratory Birthing center,Laboratory,Yes,Unknown,0,1,6,Power grid,Water works,15.283174,-16.525956,#senegal #covid-19 #emergency-health-data #healthsites
Centre de santé de Kolda,Hospital,Sikilo à côté de la gendarmerie de Kolda,775480703,souleymane sagna,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,Laboratory Imaging Equipment,Yes,Public Private,2,5,4,Power grid,Water works,12.897573,-14.937717,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Coumbacara,Doctors,,779018517,Sékou FOFANA,Public,Operational,"24/7 - All day, every day",No,Doctor Pharmacy,,No,None,0,1,18,Solar,Well,12.721052,-14.477479,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Sare Moussa,Doctors,,774518340,Dieynabou Barry,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,Emergency Department,Yes,Public,0,1,7,Power grid,Groundwater,12.691248,-16.211782,#senegal #covid-19 #emergency-health-data #healthsites
IBRAHIMANIMA,Pharmacy,,779589881,Sadou bailo balde,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Birthing center,,Yes,Public,,2,6,Solar,Well,12.783133,-14.662937,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé Djinkoré,Doctors,,775590354,Fatoumata kankou Diarra,,Operational,"24/7 - All day, every day",Yes,Birthing center,,Yes,None,,0,9,Power grid,Groundwater,13.723432,-13.668249,#senegal #covid-19 #emergency-health-data #healthsites
Poste de santé,Doctors,,775590354,Fatoumata kankou Diarra,,Operational,"24/7 - All day, every day",Yes,Birthing center,,Yes,Public,,,9,Power grid,Water works,13.723432,-13.668249,#senegal #covid-19 #emergency-health-data #healthsites
DISTRICT SANITAIRE DE BAMBEY,Doctors,,775600456,Djibril Thiaré,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Dentist Laboratory Optometry/Ophtalmology Birthing center,X-Ray Laboratory Emergency Department,Yes,Public,2,1,3,Power grid,Water works,14.845565,-16.830953,#senegal #covid-19 #emergency-health-data #healthsites
CENTRE  DE SANTE  NIORO DU RIP,Hospital,,775423901,MINISTERE DE LA SANTE,Public,Operational,"24/7 - All day, every day",Yes,Doctor Pharmacy Hospital Dentist Laboratory Optometry/Ophtalmology Blood donation Birthing center,Ultrasound X-Ray Operating Theater Laboratory Imaging Equipment Intensive Care Unit Emergency Department,Yes,None,3,15,44,Power grid,Water works,14.867552,-16.817838,#senegal #covid-19 #emergency-health-data #healthsites
